#Format: NumSlots,Skill1,Points1,Skill2,Points2
2,Reload Spd,5,,
0,Guard,1,Water Atk,9
3,Potential,4,Guard Up,-2
1,Evasion,6,WindPress,-7
0,Elemental,5,Ice Res,-1
3,Rec Level,3,FastCharge,-3
3,Fire Atk,2,Wide Area,-1
0,Crit Draw,2,Fire Atk,6
0,Eating,5,,
3,Debilitate,1,Fire Res,-9
0,PelletS Up,5,Status,-1
1,Thundr Atk,6,Eating,-2
0,PelletS Up,5,PierceS Up,-2
0,Slam,5,,
1,Stamina,3,Thundr Atk,4
0,Ice Attack,5,Guard,1
0,Carving,4,Fire Res,4
0,Elemental,5,Rewards,-3
0,Status,6,,
2,Eating,2,NormalS Up,-1
1,Slam,4,,
0,Will Recov,6,NormalS Up,-3
2,Recoil,2,,
0,Rapid Fire,2,PelletS Up,2
0,Evasion,2,Health,12
2,Guard Up,3,,
2,PelletS Up,3,,
0,PierceS Up,3,Evasion,1
0,Loading,2,Fate,2
0,Dragon Atk,4,Gunnery,4
1,PierceS Up,4,,
0,PunishDraw,5,,
0,Debilitate,2,HearProtct,2
0,Crit Draw,5,Evade Dist,-2
0,Awaken,6,Stun,2
0,FastCharge,5,,
1,Awaken,4,Evasion,-1
1,Loading,3,Attack,5
2,Debilitate,4,,
1,Guard Up,6,,
2,Guard,4,Fencing,-2
3,Status,4,Evasion,-3
2,Rapid Fire,3,,
0,NormalS Up,5,Thundr Atk,4
0,Awaken,6,Evade Dist,2
0,WindPress,4,Artisan,3
0,Sharpness,5,Expert,5
0,Will Recov,5,BombStrUp,8
0,Thundr Atk,5,Awaken,4
0,WindPress,4,Attack,7
0,Debilitate,5,Will Recov,3
0,Rapid Fire,4,Defense,9
1,Evade Dist,4,Sharpener,5
0,HearProtct,5,Thundr Atk,3
0,PierceS Up,5,Defense,4
0,Guard Up,4,PunishDraw,3
0,Awaken,3,Hunger,8
0,Rapid Fire,3,Awaken,4
0,KO,2,Dragon Atk,9
1,Will Recov,5,Blight Res,2
0,Debilitate,2,Carving,3
0,Reload Spd,4,HearProtct,3
1,Evasion,1,Eating,3
0,FastCharge,4,ThunderRes,12
0,Potential,6,Hunger,9
0,Carving,5,Defense,5
0,Artisan,3,BombStrUp,10
0,Artisan,5,Loading,2
0,Fire Atk,7,Loading,2
0,HearProtct,2,Evade Dist,4
0,Ice Attack,6,Sharpener,4
0,FatigueAtk,5,Stun,11
0,NormalS Up,5,HearProtct,3
0,Rewards,5,Fate,2
0,Reload Spd,3,KO,4
0,Carving,3,Guard,3
0,Fencing,5,Stamina,3
0,Reload Spd,4,Ice Attack,6
0,Thundr Atk,3,WindPress,3
0,WindPress,5,Awaken,3
0,PierceS Up,4,Sharpener,8
0,Evade Dist,5,Stamina,2
0,PierceS Up,5,Attack,4
0,NormalS Up,5,Water Res,4
0,KO,3,Slam,3
0,KO,5,ThunderRes,11
0,Sheathe,6,Crit Draw,1
0,FastCharge,2,PelletS Up,3
0,Fate,4,PunishDraw,3
0,Status,5,Constitutn,3
0,Potential,4,HearProtct,3
0,Stamina,5,Slam,2
0,NormalS Up,3,Defense,7
0,Artisan,5,Carving,2
0,Artisan,5,KO,3
0,Protection,4,Sharpness,3
0,Dragon Atk,6,Ice Res,10
0,HearProtct,4,Slam,3
0,Guard Up,3,Ice Res,12
0,Debilitate,5,Loading,2
0,Loading,6,Thundr Atk,3
0,Guard Up,5,Sharpness,3
0,Guard,6,Fate,1
3,NormalS Up,4,,
3,PierceS Up,3,Artisan,1
